municipio,area,população,escolarizacao,idhm,receitas,pib_percapita,salario_medio_mensal
Abreu e Lima,126384,100698,97.2,679,154773.90211,17756.99,1.9
Afogados da Ingazeira,377696,37546,97.3,657,84524.28825,12464.16,1.7
Afrânio,1490594,19981,98.7,588,48071.21326,8663.84,1.8
Agrestina,200369,25240,96.4,592,61063.16654,11341.74,1.4
Água Preta,533332,37386,94.0,553,71553.7248,6974.69,1.6
Águas Belas,885988,43923,96.1,526,84026.49512,8337.93,1.7
Alagoinha,216452,14798,96.3,599,37869.57675,9579.05,1.5
Aliança,272773,38408,97.0,604,74882.94228,8626.09,1.4
Altinho,450178,22996,96.9,598,41122.6787,7690.34,1.6
Amaraji,234956,22910,96.6,0.58,49759.73815,9839.23,1.3
Angelim,118037,11301,96.4,572,31575.19313,12367.69,1.9
Araçoiaba,96.36,20936,97.0,592,42647.83708,7289.28,1.5
Araripina,2037394,85301,95.2,602,161988.93465,12416.62,1.6
Arcoverde,323369,75295,97.3,667,147298.35801,14727.75,1.9
Barra de Guabiraba,120583,14632,93.7,577,34559.27834,9413.02,1.3
Barreiros,233433,42866,94.6,586,88084.64946,10393.73,1.5
Belém de Maria,75142,12169,98.5,578,29443.89599,7036.41,1.6
Belém do São Francisco,1830797,20730,97.3,642,51511.47673,13932.2,1.8
Belo Jardim,647696,76930,97.1,629,178709.72434,25345.75,1.8
Betânia,1244074,12811,93.8,559,33228.17382,7165.16,1.8
Bezerros,492632,60960,95.9,606,111289.24211,12522.08,1.4
Bodocó,1621786,38605,95.7,565,77842.57636,7587.92,1.7
Bom Conselho,792185,48975,96.2,563,97387.10765,11448.94,1.6
Bom Jardim,224.12,40038,97.0,602,72928.45038,8597.38,1.5
Bonito,390107,38101,96.7,561,80127.0062,11990.22,1.6
Brejão,159786,8981,96.3,547,28469.45368,19502.16,1.7
Brejinho,106275,7489,98.2,574,25360.88977,8275.55,1.7
Brejo da Madre de Deus,762346,51696,95.6,562,93034245,7950.44,1.9
Buenos Aires,93187,13224,97.4,593,31630.67014,8499.32,1.7
Buíque,1320871,59448,94.7,527,104123.27125,7560.24,2.1
Cabo de Santo Agostinho,445343,210796,96.5,686,824731.45857,47924.83,2.4
Cabrobó,1658616,34778,97.6,623,74974.98517,12063.7,1.5
Cachoeirinha,179262,20618,95.3,579,45026.0073,10989.94,1.5
Caetés,294946,29065,92.6,522,60636.9934,11162.38,1.5
Calçado,121945,10983,97.1,566,29908.52446,9268.09,1.5
Calumbi,179314,5744,95.3,571,21225.39354,8935.14,1.6
Camaragibe,51321,159945,97.4,692,281348.77533,13514.39,1.8
Camocim de São Félix,71985,19032,97.0,588,39319.76709,8824.38,1.6
Camutanga,39116,8592,97.9,606,33111.61483,16810.97,2.0
